landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count
landslide,downpour,medium,above_road,0
landslide,rain,small,unknown,1
landslide,downpour,small,unknown,0
mudslide,rain,small,above_road,0
landslide,unknown,medium,above_road,1
landslide,downpour,very_large,above_coast,0
landslide,rain,small,above_road,0
landslide,rain,small,natural_slope,1
landslide,continuous_rain,medium,above_river,0
landslide,unknown,medium,above_road,0
landslide,monsoon,large,unknown,1
landslide,continuous_rain,medium,natural_slope,1
landslide,flooding,large,natural_slope,1
landslide,rain,large,natural_slope,1
landslide,continuous_rain,small,above_river,1
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,below_road,0
landslide,rain,medium,above_road,0
landslide,flooding,medium,mine,1
landslide,continuous_rain,medium,natural_slope,0
landslide,rain,medium,above_road,0
landslide,rain,small,above_road,1
landslide,downpour,small,above_road,0
rock_fall,downpour,medium,above_road,1
landslide,unknown,small,natural_slope,0
mudslide,downpour,small,above_river,0
landslide,unknown,small,above_coast,0
landslide,downpour,small,urban,0
landslide,rain,small,above_road,0
landslide,rain,small,above_road,0
landslide,continuous_rain,medium,natural_slope,1
landslide,rain,small,above_road,0
rock_fall,unknown,small,above_road,0
mudslide,rain,small,above_road,1
landslide,rain,medium,natural_slope,1
landslide,unknown,small,below_road,0
landslide,tropical_cyclone,medium,above_road,0
landslide,rain,small,above_road,0
landslide,continuous_rain,large,natural_slope,1
landslide,continuous_rain,small,above_river,1
landslide,rain,medium,above_road,0
landslide,downpour,medium,natural_slope,0
landslide,rain,medium,above_road,0
landslide,rain,small,below_road,0
mudslide,rain,medium,unknown,0
landslide,downpour,small,above_road,0
landslide,downpour,large,unknown,1
landslide,rain,small,above_road,0
landslide,rain,small,above_road,0
debris_flow,unknown,medium,retaining_wall,0
landslide,rain,small,natural_slope,0
landslide,rain,medium,above_road,0
other,rain,medium,natural_slope,0
debris_flow,unknown,very_large,natural_slope,1
debris_flow,downpour,large,unknown,1
landslide,tropical_cyclone,medium,unknown,1
unknown,unknown,medium,natural_slope,0
rock_fall,unknown,medium,natural_slope,1
landslide,continuous_rain,small,urban,0
other,other,small,above_road,0
landslide,downpour,medium,bluff,0
landslide,unknown,medium,above_road,0
landslide,continuous_rain,medium,natural_slope,0
landslide,unknown,unknown,above_road,0
landslide,downpour,small,above_road,0
landslide,rain,medium,above_road,0
landslide,rain,medium,unknown,1
landslide,continuous_rain,medium,unknown,0
landslide,monsoon,medium,unknown,1
landslide,rain,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,downpour,small,unknown,0
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,rain,medium,unknown,1
landslide,rain,medium,unknown,1
landslide,rain,large,unknown,1
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,small,unknown,0
landslide,flooding,unknown,above_road,0
landslide,rain,small,unknown,0
landslide,downpour,unknown,below_road,0
landslide,tropical_cyclone,medium,unknown,0
landslide,tropical_cyclone,medium,unknown,0
rock_fall,unknown,small,above_road,0
landslide,rain,medium,unknown,0
landslide,downpour,large,unknown,1
landslide,unknown,medium,above_road,0
landslide,rain,very_large,unknown,1
landslide,unknown,unknown,unknown,0
landslide,downpour,small,unknown,0
landslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,1
landslide,unknown,medium,unknown,0
landslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,1
mudslide,continuous_rain,small,unknown,0
landslide,downpour,medium,unknown,1
landslide,downpour,small,unknown,0
complex,rain,small,unknown,0
mudslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
landslide,unknown,medium,mine,1
complex,rain,small,unknown,0
mudslide,rain,medium,unknown,1
landslide,continuous_rain,medium,unknown,1
landslide,unknown,unknown,above_road,0
landslide,continuous_rain,medium,unknown,0
rock_fall,mining,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
mudslide,downpour,small,above_road,0
landslide,downpour,medium,unknown,0
landslide,unknown,small,natural_slope,1
mudslide,no_apparent_trigger,small,urban,0
landslide,unknown,unknown,above_road,0
landslide,tropical_cyclone,large,unknown,1
mudslide,downpour,medium,unknown,0
landslide,rain,small,above_road,0
mudslide,downpour,medium,unknown,0
landslide,unknown,small,above_road,0
landslide,unknown,large,above_road,0
landslide,continuous_rain,medium,above_road,0
complex,downpour,medium,unknown,0
landslide,downpour,large,unknown,0
mudslide,downpour,medium,unknown,0
landslide,unknown,medium,above_road,0
landslide,rain,large,unknown,1
landslide,unknown,medium,other,0
mudslide,downpour,medium,unknown,1
debris_flow,downpour,small,unknown,0
landslide,unknown,small,urban,0
landslide,continuous_rain,large,natural_slope,0
landslide,rain,medium,unknown,0
landslide,downpour,large,unknown,1
landslide,downpour,medium,unknown,0
landslide,unknown,medium,above_road,0
riverbank_collapse,unknown,medium,urban,0
mudslide,tropical_cyclone,large,unknown,1
landslide,downpour,medium,unknown,0
mudslide,downpour,small,unknown,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
mudslide,rain,small,unknown,0
landslide,downpour,large,unknown,1
landslide,unknown,unknown,above_road,0
mudslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,no_apparent_trigger,medium,mine,1
landslide,unknown,unknown,above_road,0
mudslide,unknown,small,unknown,0
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,rain,large,unknown,1
landslide,continuous_rain,medium,other,0
landslide,unknown,unknown,above_road,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,1
debris_flow,rain,small,above_road,0
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,1
landslide,downpour,large,unknown,0
landslide,downpour,medium,unknown,0
landslide,rain,medium,above_road,0
landslide,downpour,medium,unknown,0
landslide,tropical_cyclone,small,unknown,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,above_road,0
mudslide,tropical_cyclone,medium,unknown,0
unknown,downpour,medium,unknown,0
landslide,downpour,large,unknown,1
mudslide,downpour,small,unknown,1
landslide,unknown,unknown,above_road,0
landslide,continuous_rain,small,above_road,0
landslide,flooding,medium,unknown,1
landslide,downpour,medium,unknown,1
landslide,unknown,medium,unknown,1
landslide,downpour,large,unknown,1
landslide,downpour,medium,unknown,1
mudslide,downpour,medium,unknown,0
mudslide,downpour,small,burned_area,0
mudslide,downpour,medium,unknown,0
landslide,downpour,small,unknown,0
debris_flow,tropical_cyclone,medium,unknown,0
mudslide,unknown,small,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,rain,small,urban,0
mudslide,downpour,large,mine,1
landslide,downpour,medium,unknown,1
mudslide,downpour,small,other,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,retaining_wall,0
rock_fall,unknown,medium,above_road,0
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
mudslide,downpour,medium,unknown,0
unknown,downpour,medium,above_road,0
landslide,downpour,medium,unknown,1
landslide,rain,medium,unknown,0
landslide,downpour,medium,unknown,0
mudslide,rain,small,above_road,0
landslide,unknown,unknown,above_road,0
landslide,continuous_rain,small,unknown,1
landslide,downpour,medium,unknown,1
landslide,rain,medium,unknown,1
landslide,continuous_rain,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,unknown,small,above_road,0
landslide,downpour,medium,unknown,1
landslide,downpour,large,unknown,1
landslide,downpour,medium,above_road,0
mudslide,rain,small,unknown,0
landslide,rain,medium,unknown,1
debris_flow,downpour,medium,natural_slope,0
rock_fall,unknown,small,above_road,0
landslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,downpour,small,unknown,0
landslide,monsoon,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,tropical_cyclone,medium,unknown,0
mudslide,tropical_cyclone,medium,unknown,1
landslide,downpour,medium,unknown,1
complex,dam_embankment_collapse,very_large,mine,1
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,continuous_rain,medium,above_road,0
landslide,unknown,unknown,above_road,0
landslide,rain,small,unknown,0
rock_fall,earthquake,small,natural_slope,0
landslide,downpour,medium,unknown,0
landslide,continuous_rain,medium,above_river,1
landslide,continuous_rain,medium,above_road,0
mudslide,continuous_rain,small,above_road,0
landslide,downpour,medium,unknown,1
landslide,downpour,large,unknown,1
landslide,downpour,medium,unknown,0
landslide,downpour,small,unknown,0
mudslide,unknown,medium,above_road,0
rock_fall,unknown,small,above_road,0
mudslide,downpour,medium,unknown,0
mudslide,downpour,medium,above_river,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,0
landslide,downpour,very_large,unknown,1
mudslide,rain,small,unknown,0
unknown,mining,unknown,mine,1
landslide,downpour,medium,unknown,0
mudslide,rain,medium,unknown,1
mudslide,downpour,medium,unknown,0
mudslide,unknown,medium,above_road,0
landslide,continuous_rain,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,1
landslide,tropical_cyclone,medium,below_road,0
landslide,downpour,medium,unknown,0
landslide,rain,medium,below_road,0
landslide,continuous_rain,medium,natural_slope,0
landslide,downpour,medium,unknown,1
mudslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,0
landslide,continuous_rain,medium,unknown,1
landslide,downpour,medium,above_road,0
landslide,downpour,medium,unknown,0
rock_fall,unknown,small,natural_slope,0
landslide,downpour,large,unknown,0
mudslide,rain,small,unknown,0
landslide,rain,small,below_road,0
complex,rain,medium,unknown,0
landslide,downpour,small,unknown,0
landslide,downpour,large,unknown,1
landslide,unknown,unknown,above_road,0
landslide,unknown,large,natural_slope,0
landslide,unknown,unknown,above_road,0
rock_fall,rain,medium,above_river,0
landslide,downpour,medium,unknown,1
mudslide,continuous_rain,medium,above_road,0
debris_flow,downpour,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,rain,medium,unknown,0
landslide,unknown,unknown,above_road,0
landslide,tropical_cyclone,medium,unknown,0
landslide,tropical_cyclone,very_large,unknown,1
landslide,unknown,medium,urban,0
debris_flow,rain,small,above_road,0
landslide,downpour,medium,unknown,0
landslide,rain,medium,above_road,0
landslide,unknown,medium,above_road,0
landslide,rain,large,unknown,1
landslide,downpour,small,urban,0
landslide,downpour,medium,unknown,1
mudslide,unknown,small,above_road,0
landslide,downpour,medium,unknown,0
landslide,downpour,medium,above_road,0
landslide,rain,medium,unknown,0
landslide,downpour,small,retaining_wall,0
landslide,downpour,medium,unknown,0
mudslide,downpour,medium,unknown,0
mudslide,rain,small,unknown,0
landslide,unknown,medium,above_road,0
landslide,unknown,medium,above_road,0
landslide,continuous_rain,medium,unknown,0
landslide,continuous_rain,small,below_road,0
landslide,downpour,small,above_road,0
mudslide,rain,small,unknown,0
landslide,monsoon,medium,unknown,1
mudslide,downpour,small,unknown,0
rock_fall,earthquake,small,above_road,0
mudslide,unknown,unknown,above_road,0
landslide,unknown,small,unknown,0
landslide,downpour,small,unknown,0
mudslide,rain,medium,unknown,1
mudslide,downpour,medium,unknown,1
landslide,downpour,medium,unknown,0
landslide,downpour,medium,unknown,0
landslide,continuous_rain,medium,unknown,1
landslide,earthquake,medium,unknown,0
